raw,rawFiltered,average,std,stdstd
2173,2173,2173.0,0.0,0.0,2
2900,2900,2536.5,363.5,181.75,1
1817,1817,2296.6666666666665,450.69748415341985,195.18193036381555,2
1986,1986,2219.0,412.84682389477086,179.7870537217963,3
2227,2227,2220.6,369.2752902645937,162.7390304940546,4
2504,2504,2267.833333333333,353.25883648615996,149.09896352139586,5
2242,2242,2264.142857142857,327.17903730064916,138.04106124007112,6
1685,1685,2191.75,361.0407698584745,129.66694454790837,7
2017,2017,2172.3333333333335,344.79430260825234,122.34286533851177,8
5,5,1955.6000000000001,727.8425928729371,166.18081655939713,9
2442,2442,1999.818181818182,707.917922589877,142.07636596385535,10
1199,1199,1933.0833333333335,713.0037936240046,160.32391462016398,11
1883,1883,1929.2307692307693,685.1618735010059,171.54598874459631,12
2001,2001,1934.357142857143,660.4971728222025,174.98453876331465,13
1853,1853,1928.9333333333334,638.4235236546,169.57831541825232,14
2415,2415,1959.3125,629.2487305062681,156.99328284809727,15
1779,1779,1948.7058823529412,611.9334608874017,132.56704453718,16
1917,1917,1946.9444444444446,594.7367739150772,104.62897897199328,17
1187,1187,1906.9473684210527,603.2339577280383,46.33180562605456,1
1795,1795,1901.3500000000001,588.4657402941993,43.883696785054404,2
1968,1968,1904.5238095238096,574.4591343621879,42.46196926860162,3
911,911,1859.3636363636365,598.1901146150282,32.88619187712615,4
2035,2035,1867.0000000000002,586.1368737612477,25.347828245108477,5
2900,2900,1910.041666666667,609.7959002244567,18.62615342705652,6
1817,1817,1906.3200000000004,597.7536428998154,14.54043824296384,7
1986,1986,1909.3846153846157,586.3459255240871,10.996584205508384,8
2227,2227,1921.1481481481485,578.5032861844437,10.439928067413904,9
2504,2504,1941.964285714286,578.2846235785169,11.115972702747275,10
2242,2242,1952.3103448275865,570.8579208130982,11.531175483060847,11
1685,1685,1943.4000000000003,563.3103703406616,13.48843684519693,12
2017,2017,1945.7741935483873,554.3028000765797,16.075795413616454,13
5,5,1885.1250000000002,641.621420212106,23.786629090013054,14
2442,2442,1902.0000000000002,638.9956608189563,28.485212600518572,15
1199,1199,1881.3235294117649,640.6357926764094,31.73187483796581,16
1883,1883,1881.3714285714286,631.417592664736,33.57131877673868,17
2001,2001,1884.6944444444446,622.8964520441065,34.04335859673725,18
1853,1853,1883.837837837838,614.4427716633821,33.25226062483954,19
2415,2415,1897.8157894736844,612.2367470901552,31.991519026386413,20
1779,1779,1894.769230769231,604.6283224295928,29.46179901033382,21
