raw,rawFiltered,average,std,stdstd
181274,181274,181274.0,0.0,0.0,2
144924,144924,163099.0,18175.0,9087.5,1
124597,124597,150265.0,23444.477572909716,10042.916506219502,1
162184,162184,153244.75,20949.20945256646,9221.35268454646,1
189713,189713,160538.4,23746.259129387097,8861.990375201018,1
198765,198765,166909.5,25939.518016275222,8712.151413583828,1
201671,201671,171875.42857142858,26920.226929934743,8562.381318123978,1
201424,201424,175569.0,27011.267648890527,8349.195583740651,1
203522,203522,178674.88888888888,26939.06691630183,8106.689594816581,1
202217,202217,181029.09999999998,26514.576807673177,7838.844034613907,1
203452,203452,183067.54545454544,26089.54234716082,2846.282029497597,1
204489,204489,184852.66666666666,25670.906425800833,1888.5610709741711,1
202244,202244,186190.46153846153,25095.414351615917,1786.5792089138395,2
204196,204196,187476.57142857142,24623.130811478542,1035.3361723396781,1
203033,203033,188513.66666666666,24102.6263649605,965.9473015002808,2
203825,203825,189470.625,23629.739717342956,1179.2479953483848,1
206978,206978,190500.4705882353,23291.39183606037,1288.7592966809052,2
208311,208311,191489.94444444444,22999.883788286657,1316.6639578767363,1
210110,210110,192469.94736842104,22769.280478828176,1262.6574568852272,2
209398,209398,193316.34999999998,22497.32601282873,1187.8488638846209,1
209344,209344,194079.57142857142,22218.874937381355,1096.054650766051,2
209259,209259,194769.54545454544,21937.08785000514,988.2744685976182,1
209295,209295,195401.08695652173,21658.41890313656,903.8860277613632,2
211549,211549,196073.91666666666,21446.536060470367,822.6032995784491,1
211582,211582,196694.24,21231.838769696802,766.3585959933382,2
213817,213817,197352.8076923077,21078.321758511174,727.5683841791056,3
216037,216037,198044.8148148148,20983.11163952615,681.7845875353426,1
216986,216986,198721.2857142857,20902.675525698935,625.9529977439488,2
219802,219802,199448.2068965517,20896.200061056,544.6531251951334,1
221519,221519,200183.9,20923.48497956304,448.2623235888213,2
223009,223009,200920.1935483871,20974.597483037487,344.230333259231,1
224925,224925,201670.34375,21062.532974172078,242.8382573050773,2
227399,227399,202450.0,21204.683369196508,168.09402169085345,1
228193,228193,203207.14705882352,21338.507380861476,145.53069707757655,2
227191,227191,203892.4,21407.658644513187,173.257271397416,3
230081,230081,204619.8611111111,21542.50725910259,222.52294001074918,4
231231,231231,205339.08108108107,21683.148105157212,271.941589592362,5
231335,231335,206023.1842105263,21796.839247994394,306.403443208324,1
232933,232933,206713.17948717947,21931.977698974104,332.12527565753453,2
232690,232690,207362.59999999998,22032.577873231272,343.9315507659604,3
234063,234063,208013.82926829267,22148.55761851338,345.7618839986487,4
235244,235244,208662.16666666666,22273.586026327746,343.16296206342747,5
235781,235781,209292.83720930232,22389.292872835278,343.76768209903474,6
237841,237841,209941.6590909091,22538.620211602843,352.07819388007334,7
237324,237324,210550.15555555554,22649.33856375949,349.2233997087775,8
240135,240135,211193.30434782608,22813.468440784647,354.92535986272185,9
239496,239496,211795.48936170212,22936.034488052228,362.33386657355646,10
240654,240654,212396.7083333333,23067.095169994802,368.39204709980413,11
242941,242941,213020.06122448976,23235.386498419728,382.4382830818702,12
242701,242701,213613.67999999996,23374.180227284985,392.1046140715292,13
244909,244909,214886.37999999998,23311.014114267968,370.4916053627647,14
245917,245917,216906.23999999996,21463.616653826088,539.5460243316726,1
246338,246338,219341.05999999997,17368.452595910803,1717.5670118828466,1
247589,247589,221049.15999999997,15791.32268349934,2587.007217699492,1
248882,248882,222232.53999999998,15614.727824986283,3109.884274566916,1
251272,251272,223282.68,15766.046654047454,3382.4323498387967,1
248008,248008,224209.41999999998,15830.189980022378,3476.579341735666,2
249959,249959,225180.12,15891.191472812883,3402.3608740444765,3
250273,250273,226115.13999999998,15964.563048214033,3135.7067781151895,1
248865,248865,227048.09999999998,15903.63353608228,2623.3442305257036,1
251201,251201,228003.08,15891.67410040871,1703.6564891967478,1
248902,248902,228891.34,15793.459338105791,471.3358953410187,1
249590,249590,229838.26,15585.370586303074,117.0518203719804,1
247139,247139,230697.12,15329.772925441557,184.3141712100905,2
247056,247056,231577.58,14975.744272776596,298.1755728365092,1
247488,247488,232450.84,14600.309888985268,440.70535592461107,1
246303,246303,233237.34,14262.215879182346,579.6229013807676,1
248741,248741,234045.94,13969.17280215264,698.0183292605262,2
246647,246647,234776.68,13649.943502359305,792.6156883990017,1
248286,248286,235554.44,13284.74815592682,877.599209224391,2
249779,249779,236363.14,12889.435857336852,941.4943323040387,1
247870,247870,237135.36000000002,12389.378573213467,1001.8884270376307,2
249826,249826,237945.98,11855.75516867656,1069.0855928678031,1
246964,246964,238654.28,11302.553886693084,1143.0435009199373,2
249087,249087,239404.38,10709.983211732917,1236.8837920818128,1
250199,250199,240132.02000000002,10169.094184813164,1335.1171479137377,2
246626,246626,240743.80000000002,9605.635716598921,1429.9225191407022,1
248666,248666,241377.40000000002,9046.178883926674,1506.618741811867,2
247146,247146,241924.28000000003,8537.555380880456,1553.6952850636478,1
251661,251661,242527.12000000002,8129.883215987841,1558.3243540599672,2
251597,251597,243098.88000000003,7732.671330504147,1523.0644976774563,3
249845,249845,243597.28000000003,7338.270079630535,1466.1146618535406,4
252808,252808,244105.46000000002,7073.967953588758,1378.2955082682702,1
249821,249821,244538.02000000002,6741.152330247455,1280.3846983348637,2
250745,250745,245009.1,6322.449551400207,1200.0233146100752,1
250541,250541,245418.30000000002,5996.749006753633,1120.23502149572,2
250569,250569,245805.06000000003,5684.753287206109,1052.085528279578,1
253416,253416,246246.68000000002,5393.724792534435,1001.4987803616359,2
248952,248952,246567.06000000003,5058.746625044649,974.3943849624112,3
251145,251145,246936.16000000003,4692.800593931154,961.6264639958198,4
250954,250954,247273.98000000004,4349.339129063239,959.2862807310804,5
248873,248873,247546.56000000003,3999.8974894865187,969.3923549180013,6
251489,251489,247860.72000000003,3666.4386046408217,966.1453902521005,7
248736,248736,248078.62000000002,3376.7911033406435,953.3205799665105,8
251139,251139,248354.92,3033.225668096673,957.4073776329593,9
250037,250037,248552.96000000002,2804.725348122433,945.6353208504131,10
249021,249021,248743.46000000002,2488.7757569537066,931.8403894407128,1
251559,251559,248961.56000000003,2235.2170378736123,902.2371609509271,2
249065,249065,249084.04000000004,2063.1202093917063,854.4489789616363,3
252408,252408,249278.18000000005,1903.913040976521,798.1626159000471,1
251960,251960,249419.20000000004,1834.9514217004355,723.5702321510252,2
250875,250875,249518.36000000004,1776.0329361812076,639.2190896014257,1
250297,250297,249597.54000000004,1719.8416579442523,550.1340160276264,2
246523,246523,249576.22000000003,1750.9346223090213,445.09108858024285,1
249316,249316,249584.90000000002,1748.545730028367,350.0787007661895,2
248164,248164,249522.74000000002,1742.6994326046122,245.07919482879117,1
248018,248018,249522.94000000003,1742.5261479818425,162.01762988777642,2
246729,246729,249458.34000000003,1784.5288634259862,99.84102019084017,1
243145,,249458.34000000003,1784.5288634259862,81.15149243969454,2
245100,245100,249354.88000000003,1881.613250803801,112.51694724658718,3
242649,242649,249230.56000000003,2102.2820568136085,172.16825289484845,4
242712,242712,249060.78000000003,2272.211348356588,237.3780923834093,1
243513,243513,248953.00000000003,2401.3289903718883,288.2022767456021,2
242788,242788,248816.96000000002,2549.4907645254334,334.2755581359999,3
244902,244902,248772.22000000003,2597.7160606194975,357.77781156271743,1
243943,243943,248709.96000000002,2674.2796260676414,363.65532042318756,2
244336,244336,248646.92,2738.715807381351,344.4279673414684,3
243788,243788,248596.62000000002,2803.6292614396234,305.5126593712331,4
244674,244674,248515.28000000003,2856.7539063770423,273.6319847781533,5
247531,247531,248532.96000000002,2847.8583248470227,222.91074434744027,1
246688,246688,248501.00000000003,2859.3938798284667,176.27333389497738,2
247776,247776,248460.94000000003,2855.2364834458976,139.4631272012556,3
248342,248342,248470.38000000003,2854.047125679689,105.02640392813441,4
248744,248744,248448.74000000002,2847.781584391699,82.6774751640164,1
251210,251210,248533.66000000003,2865.4930857359423,57.75261612840582,2
249013,249013,248532.18000000002,2865.226006373754,37.52260903974246,3
249739,249739,248522.98,2860.5939837034707,14.12498146221552,4
247891,247891,248548.28,2849.276252243803,6.318612354075083,5
247312,247312,248521.2,2854.458344415012,6.173112502882709,6
248766,248766,248553.6,2847.851421686267,12.755452424657308,7
247188,247188,248464.14,2818.9418582866324,23.25433372490747,8
250314,250314,248438.48,2796.0540355294447,27.583848606754334,9
248944,248944,248420.46000000002,2789.827680771788,44.17302548684037,10
249761,249761,248359.52000000002,2725.8678635620795,53.51655094254807,11
249670,249670,248356.50000000003,2724.3302241102297,58.67404308223067,12
246374,246374,248269.08000000002,2716.4021045494164,61.53200099772989,13
251911,251911,248296.48,2745.9295055773914,58.02590775100454,14
251549,251549,248316.08000000002,2765.508176375636,56.907168448359194,15
251701,251701,248281.78000000003,2712.1631535732686,45.51541331106896,16
251677,251677,248336.28000000003,2752.1673643876557,35.94962480773289,17
247121,247121,248255.80000000002,2727.5828346725784,30.176237164866027,18
249816,249816,248233.04,2709.662141005867,16.55623452081246,19
247799,247799,248211.56,2708.7606698267937,20.073111126972893,20
251122,251122,248204.22,2700.3539493185885,19.143677064633728,21
251782,251782,248265.14,2745.642839190942,19.503368019572605,22
249814,249814,248238.64,2724.0870526472713,19.636521623974463,23
253194,,248238.64,2724.0870526472713,34.35781550719374,24
248581,248581,248209.52000000002,2712.4646596039734,34.08358692541779,25
251908,251908,248267.26,2759.4448195969594,42.43490177385405,26
252798,252798,248292.04,2794.237412676399,49.89413611038102,27
249726,249726,248305.26,2799.421981838482,49.29476639475776,28
252874,252874,248314.58000000002,2813.804322194508,53.033245170821786,29
248072,248072,248236.82,2765.292626034449,45.589521253352274,30
249842,249842,248216.16,2749.317852559158,39.75193889150969,31
248250,248250,248175.22,2733.2210981917474,32.915375288761595,32
248028,248028,248205.32,2723.1284247351427,19.087733195768088,33
251977,251977,248258.54,2769.916108549228,24.826000352826917,34
248541,248541,248266.08000000002,2770.1616042390915,21.444011557105735,35
251704,251704,248339.80000000002,2811.319206351441,22.580697354619954,36
250921,250921,248423.64,2824.507898802992,26.26624870209286,37
251992,251992,248561.48,2827.1146438728815,46.68207646024521,38
256242,,248561.48,2827.1146438728815,49.59513908434397,39
253688,,248561.48,2827.1146438728815,56.658918677905895,40
257398,,248561.48,2827.1146438728815,55.73763047438861,41
256759,,248561.48,2827.1146438728815,61.24319778792202,42
256960,,248561.48,2827.1146438728815,72.57397973839957,43
257548,,248561.48,2827.1146438728815,90.59179157630243,44
255376,,248561.48,2827.1146438728815,95.94619024572916,45
258505,258505,248878.6,3028.256184671384,110.7135762289751,46
256670,256670,249157.76,3089.657648089911,128.87916543130268,47
257749,257749,249442.48,3209.9596087179157,138.69064953774716,48
256907,256907,249724.86000000002,3233.085418048906,150.97793411203492,49
253616,253616,249899.14,3203.137156039445,138.20616882118688,50
254876,254876,250117.80000000002,3161.984516091193,124.19869990858079,51
252688,252688,250284.84000000003,3071.4455968485668,115.22934622319653,52
254635,254635,250501.78000000003,2986.806711456307,105.22546157778538,53
254971,254971,250707.72000000003,2932.374669376413,99.95718345579994,54
