raw,rawFiltered,average,std,stdstd
151450,151450,151450.0,0.0,0.0,2
111590,111590,131520.0,19930.0,9965.0,1
87409,87409,116816.33333333333,26404.52411151459,11236.464726881846,1
110204,110204,115163.25,23045.546721384155,10272.566135690531,1
150323,150323,122195.2,24953.37777055443,9678.968688026498,1
167679,167679,129775.83333333333,28394.05854174817,9522.381280693133,1
174078,174078,136104.7142857143,30518.458572356714,9493.360371320896,2
180056,180056,141598.625,32034.913125906474,9492.635990377506,3
181222,181222,146001.22222222222,32669.134868583962,9435.487512776186,4
183459,183459,149747.0,32966.99555919526,9328.275444000847,1
185034,185034,152954.9090909091,33029.19210597731,4410.042916710115,1
185191,185191,155641.25,32854.187036878066,3549.9192535598163,1
186666,186666,158027.76923076922,32629.935783792742,3464.526395923685,2
185307,185307,159976.2857142857,32218.30404871601,2499.8506284326745,1
186594,186594,161750.8,31826.128490492425,1370.0972000712766,1
187192,187192,163340.875,31424.84890750273,755.08822917039,1
187819,187819,164780.76470588235,31025.8628974743,648.7979717493147,2
188758,188758,166112.83333333334,30647.855964977392,811.6276613000729,3
188486,188486,167290.36842105264,30245.880756873372,962.068410110516,1
190105,190105,168431.1,29896.433563052306,1053.9634250824968,2
192115,192115,169558.90476190476,29608.67882725759,1082.7469596651797,1
192226,192226,170589.22727272726,29310.71312666756,1075.584874415103,2
192422,192422,171538.47826086957,29010.147453830807,1035.2629796031226,3
192182,192182,172398.625,28697.370381582154,996.3031205543908,4
194402,194402,173278.76,28446.24416302441,949.1206557976741,1
194733,194733,174103.9230769231,28197.313934981987,899.8768307561711,2
197413,197413,174967.22222222225,28018.176443335436,843.370761587582,3
199935,199935,175858.9285714286,27900.72816756961,774.1572492050647,1
200460,200460,176707.24137931038,27780.51972857981,706.4545691258003,2
202664,202664,177572.4666666667,27708.155171036236,632.9078895953589,1
202929,202929,178390.41935483876,27623.312517456063,549.8299245061917,2
204027,204027,179191.56250000006,27551.749560982396,463.0290830528574,1
205518,205518,179989.3333333334,27503.85304761219,377.375363501583,2
205032,205032,180725.88235294123,27424.727878712907,310.0056748647873,1
207284,207284,181484.68571428576,27389.83909489213,251.54297294653247,2
205453,205453,182150.47222222228,27292.468083384494,220.77774452888588,3
207347,207347,182831.45945945953,27229.427545664126,204.49873228929837,4
209561,209561,183534.8684210527,27207.298916371536,187.44095906440154,1
209466,209466,184199.7692307693,27167.19000546245,176.17821526256196,2
211599,211599,184884.7500000001,27164.380261428738,158.75639618623697,3
211036,211036,185522.58536585374,27132.62363764743,143.46943842795446,4
211334,211334,186137.14285714293,27094.94611596801,130.17058746201292,5
211225,211225,186720.5813953489,27043.66828894415,116.7148615989284,6
211469,211469,187283.04545454553,26987.810334191552,111.56321787504002,7
212599,212599,187845.6222222223,26945.912606379025,103.68189636925523,8
212438,212438,188380.23913043487,26891.625018553037,109.1379303020419,9
213886,213886,188922.9148936171,26857.40093794803,117.18356116713349,10
214964,214964,189465.4375000001,26835.16409559962,120.1462680392499,11
215379,215379,189994.2857142858,26811.45731258352,121.60650977202785,12
218109,218109,190556.58000000007,26832.25161412285,110.61570227934021,13
217312,217312,191873.82000000007,26494.625180734263,157.19475743887125,14
217794,217794,193997.90000000005,24124.27671806966,831.2262189289767,1
217576,217576,196601.24000000005,18949.881581223603,2416.6363379031177,1
218511,218511,198767.38000000006,14653.222837164436,4066.4700553982184,1
221500,221500,200190.92000000007,13269.843802908805,5175.662929800532,1
220031,220031,201237.96000000008,12717.096305304802,5858.769759178142,1
220634,220634,202169.08000000007,12394.692928572169,6195.981492230952,1
220569,220569,202979.34000000008,12245.948983414752,6204.9776223969775,2
221020,221020,203775.30000000008,12098.404257173615,5878.346697125117,1
222023,222023,204546.58000000007,12007.54108565099,5128.665266157562,1
219068,219068,205227.26000000007,11845.688450756943,3816.2025882816624,1
221219,221219,205947.82000000007,11699.863624316155,2090.17831932985,1
219476,219476,206604.02000000008,11518.709642125556,880.722379219386,1
222354,222354,207344.96000000008,11314.665523929381,551.7432552611518,1
223355,223355,208080.18000000008,11135.326141052,468.8984997909236,2
221004,221004,208756.42000000007,10869.79157682409,473.59646746473857,3
223334,223334,209466.72000000006,10636.279823396706,512.696587033364,4
220310,220310,210097.76000000007,10320.21074118139,568.9071321017659,5
219656,219656,210721.16000000006,9929.952558516867,648.0393541521146,6
220729,220729,211333.64000000007,9577.653273657153,723.7499041583663,1
220376,220376,211898.86000000007,9255.275879215891,793.6769486370022,2
221454,221454,212483.42000000007,8910.892592978294,854.8999069831868,1
220403,220403,213043.04000000007,8502.70637846535,917.9693401016119,2
221408,221408,213627.56000000006,8040.531291301295,988.045017766115,1
222068,222068,214180.88000000006,7640.442253272725,1041.5073991428214,2
222030,222030,214726.82000000007,7193.474842355058,1094.1560714781983,3
223574,223574,215250.04000000007,6858.746660899137,1116.1522831970449,1
221534,221534,215682.02000000008,6553.972314527657,1115.3371576643392,2
223756,223756,216147.9400000001,6277.504030774885,1102.1649944025407,3
222971,222971,216554.0800000001,6044.572553423017,1067.431114649451,4
222624,222624,216947.9800000001,5779.768388058018,1012.8030801841492,5
224618,224618,217359.8000000001,5574.376786690571,934.2508382239228,1
220828,220828,217666.00000000012,5330.658664742532,853.0831142696578,2
222674,222674,218018.8400000001,5059.710257949021,791.547676511161,1
222528,222528,218323.72000000012,4858.9742499414915,734.1350714911806,2
222496,222496,218664.5800000001,4530.838218651644,718.6990004758177,3
224864,224864,219014.9200000001,4314.23929257457,709.1449590231998,4
222643,222643,219276.5600000001,4125.522076827886,699.2447857696184,5
224975,224975,219586.7400000001,3955.7835371003557,684.780138208764,6
225385,225385,219862.4600000001,3868.9169606485666,649.5332960339102,1
225357,225357,220148.88000000012,3732.580006589822,610.9924451956164,2
226188,226188,220445.9600000001,3608.223135893068,559.0869434751796,3
225170,225170,220724.8600000001,3418.6690393183635,512.0637219976851,1
226259,226259,221020.6600000001,3240.2030159225956,477.6537003372273,2
224040,224040,221249.4800000001,3034.8637744705848,449.0208221613375,3
224145,224145,221483.6200000001,2787.5461817867335,463.0227277253044,4
